hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 900.00000, 1155.57, 861.405, 1182.05, 659.173, 1343.95, 783.223, 0, 0
0, 1800.00000, 1098.92, 821.334, 1124.28, 627.307, 1279.63, 746.286, 0, 0
0, 2700.00000, 1162.53, 795.668, 1185.27, 604.776, 1339.22, 719.913, 0, 0
1, 0.00000, 1204.87, 823.031, 1229.64, 630.829, 1383.7, 748.38, 0, 0
1, 900.00000, 1178.78, 803.485, 1203.42, 617.033, 1352.57, 731.592, 0, 0
1, 1800.00000, 1160.29, 791.501, 1183.36, 605.404, 1332.99, 718.431, 0, 0
1, 2700.00000, 1165.38, 794.986, 1189.77, 610.015, 1337.77, 723.631, 0, 0
2, 0.00000, 1184.88, 812.935, 1209.16, 620.366, 1363.79, 737.675, 0, 0
2, 900.00000, 1148.08, 784.833, 1171.35, 600.103, 1319.7, 712.615, 0, 0
2, 1800.00000, 1154.31, 788.367, 1178.85, 604.378, 1325.92, 717.631, 0, 0
2, 2700.00000, 1216.63, 771.096, 1239.11, 591.424, 1383.47, 700.723, 0, 0
3, 0.00000, 1166.98, 738.501, 1188.32, 563.852, 1328.9, 669.657, 0, 0
3, 900.00000, 1178.13, 743.946, 1200.83, 569.003, 1340.98, 676.136, 0, 0
3, 1800.00000, 1112.25, 722.417, 1133.02, 554.013, 1268.48, 656.205, 0, 0
3, 2700.00000, 1181.22, 770.936, 1204.43, 589.124, 1350.28, 700.135, 0, 0
4, 0.00000, 1165.95, 760.944, 1188.1, 579.177, 1334.44, 689.244, 0, 0
4, 900.00000, 1148.88, 751.83, 1170.19, 569.783, 1317.19, 679.255, 0, 0
4, 1800.00000, 1202.67, 787.673, 1225.57, 599.515, 1377.07, 713.427, 0, 0
4, 2700.00000, 1195.05, 758.518, 1214.86, 575.915, 1363.09, 684.37, 0, 0
5, 0.00000, 1214.51, 767.524, 1236.19, 588.902, 1380.04, 696.992, 0, 0
5, 900.00000, 1196.88, 757.367, 1217.4, 578.96, 1361.65, 685.933, 0, 0
5, 1800.00000, 1198.41, 785.699, 1218.85, 595.941, 1372.97, 708.524, 0, 0
5, 2700.00000, 1185.4, 773.485, 1205.64, 589.223, 1355.09, 698.882, 0, 0
6, 0.00000, 1132, 735.872, 1149.97, 558.997, 1294.16, 662.991, 0, 0
6, 900.00000, 1182.04, 769.635, 1201.65, 584.524, 1352.15, 694.064, 0, 0
6, 1800.00000, 1194.33, 778.382, 1213.95, 591.234, 1366.21, 701.806, 0, 0
6, 2700.00000, 1146.38, 727.466, 1167.5, 568.396, 1294.7, 666.223, 0, 0
7, 0.00000, 1189.54, 755.624, 1210.54, 587.971, 1345.23, 689.978, 0, 0
7, 900.00000, 1224.74, 777.507, 1245.48, 604.828, 1384.66, 709.129, 0, 0
7, 1800.00000, 1143.85, 729.091, 1166.14, 588.063, 1277.13, 677.877, 0, 0
7, 2700.00000, 1172.33, 745.88, 1193.42, 604.963, 1304.91, 693.683, 0, 0
8, 0.00000, 1242.69, 786.424, 1263.8, 642.93, 1377.51, 732.955, 0, 0
8, 900.00000, 1208.12, 762.232, 1227.48, 628.561, 1333.57, 712.16, 0, 0
8, 1800.00000, 1240.94, 782.331, 1261.61, 645.106, 1370.12, 731.617, 0, 0
8, 2700.00000, 1126.32, 806.704, 1151.39, 674.966, 1252.94, 762.55, 0, 0
9, 0.00000, 1204.62, 858.556, 1230.75, 718.999, 1338.55, 811.406, 0, 0
9, 900.00000, 1187.32, 846.784, 1212.69, 712.76, 1316.07, 801.74, 0, 0
9, 1800.00000, 1210.59, 824.664, 1241.99, 717.895, 1318.75, 798.474, 0, 0
9, 2700.00000, 1157.38, 789.016, 1189.55, 695.987, 1254.03, 770.361, 0, 0
10, 0.00000, 1167.34, 795.83, 1197.72, 702.652, 1263.23, 775.546, 0, 0
10, 900.00000, 1216.39, 829.489, 1247.13, 725.296, 1322, 804.013, 0, 0
10, 1800.00000, 1205.99, 821.394, 1234.63, 721.28, 1307.01, 796.138, 0, 0
10, 2700.00000, 1215.21, 813.916, 1262.6, 758.089, 1287.25, 827.045, 0, 0
11, 0.00000, 1205.5, 806.591, 1253.33, 754.07, 1274.9, 821.758, 0, 0
11, 900.00000, 1189.13, 798.554, 1235.6, 749.197, 1255.11, 814.125, 0, 0
11, 1800.00000, 1220.87, 813.466, 1275.93, 767.851, 1287.9, 838.335, 0, 0
11, 2700.00000, 1200.17, 801.125, 1254.16, 757.948, 1264.56, 826.292, 0, 0
12, 0.00000, 1162.18, 778.846, 1214.97, 740.32, 1221.94, 805.304, 0, 0
12, 900.00000, 1239.35, 826.046, 1292.55, 771.814, 1312.91, 845, 0, 0
12, 1800.00000, 1226.37, 817.129, 1280.75, 766.77, 1297.17, 839.045, 0, 0
12, 2700.00000, 1187.65, 817.567, 1245.64, 772.591, 1255.59, 845.3, 0, 0
13, 0.00000, 1164.06, 802.947, 1221.48, 764.868, 1225.75, 833.631, 0, 0
13, 900.00000, 1191.55, 815.704, 1249.8, 773.937, 1256.85, 845.271, 0, 0
13, 1800.00000, 1145.66, 826.683, 1204.05, 783.717, 1212.06, 855.77, 0, 0
13, 2700.00000, 1259.77, 897.38, 1319.39, 837.617, 1341.34, 919.139, 0, 0
14, 0.00000, 1222.68, 876.861, 1281.65, 821.814, 1299.84, 900.414, 0, 0
14, 900.00000, 1191.3, 857.767, 1249.61, 804.949, 1266.2, 881.853, 0, 0
14, 1800.00000, 1170.58, 843.799, 1228.03, 796.181, 1240.54, 869.742, 0, 0
14, 2700.00000, 1198.2, 846.452, 1256.29, 800.25, 1267.26, 873.659, 0, 0
15, 0.00000, 1205.26, 849.871, 1264.53, 804.195, 1274.45, 878.362, 0, 0
15, 900.00000, 1172.52, 830.558, 1230.5, 789.288, 1237.25, 860.139, 0, 0
15, 1800.00000, 1209.1, 842.251, 1266.64, 793.715, 1279.9, 867.808, 0, 0
15, 2700.00000, 1208.66, 844.48, 1264.5, 792.73, 1281.4, 866.959, 0, 0
16, 0.00000, 1225, 854.623, 1282.42, 800.87, 1300.26, 877.472, 0, 0
16, 900.00000, 1214.81, 849.957, 1272.53, 798.627, 1288.12, 874.274, 0, 0
16, 1800.00000, 1201.34, 842.723, 1258.52, 795.046, 1271.22, 868.403, 0, 0
16, 2700.00000, 1177.15, 842.892, 1220.33, 762.249, 1268.58, 839.967, 0, 0
17, 0.00000, 1191.96, 850.667, 1237.28, 771.004, 1283.61, 850.091, 0, 0
17, 900.00000, 1204.63, 867.318, 1246.63, 778.494, 1302.55, 859.283, 0, 0
17, 1800.00000, 1158.72, 892.974, 1187.74, 755.231, 1292.52, 849.235, 0, 0
17, 2700.00000, 1137.82, 879.543, 1167.27, 742.396, 1271.32, 836.478, 0, 0
18, 0.00000, 1131.86, 882.647, 1160.8, 737.177, 1272.31, 834.979, 0, 0
18, 900.00000, 1225.64, 953.931, 1257.09, 784.217, 1388.34, 896.306, 0, 0
18, 1800.00000, 1240.51, 962.577, 1273.62, 797.536, 1400, 908.733, 0, 0
18, 2700.00000, 1178.47, 1024.78, 1200.54, 798.855, 1385.16, 930.929, 0, 0
19, 0.00000, 1178.81, 1021.07, 1202.62, 796.174, 1385.48, 929.245, 0, 0
19, 900.00000, 1133.24, 986.739, 1157.5, 767.076, 1335.6, 897.921, 0, 0
19, 1800.00000, 1148, 1029.06, 1171.41, 785.924, 1370.27, 927.763, 0, 0
19, 2700.00000, 1170.34, 1044.85, 1194.67, 797.766, 1396.49, 942.373, 0, 0
20, 0.00000, 1149.84, 1031.45, 1173.64, 787.913, 1372.65, 930.289, 0, 0
20, 900.00000, 1139.88, 1019.18, 1165.28, 782.629, 1357.44, 922.898, 0, 0
20, 1800.00000, 1127.39, 1013.02, 1153.58, 776.595, 1345.24, 917.486, 0, 0
20, 2700.00000, 1157.45, 1008.13, 1185.41, 775.226, 1373.14, 915.889, 0, 0
21, 0.00000, 1202.07, 1042.49, 1231.89, 799.281, 1427.6, 946.712, 0, 0
21, 900.00000, 1147.04, 996.952, 1172.88, 763.733, 1361.94, 902.72, 0, 0
21, 1800.00000, 1199.16, 975.959, 1225.77, 755.797, 1403.13, 888.928, 0, 0
21, 2700.00000, 1155.22, 945.712, 1182.17, 727.17, 1357.95, 859.779, 0, 0
22, 0.00000, 1111.75, 911.596, 1136.38, 700.921, 1306.52, 827.587, 0, 0
22, 900.00000, 1142.92, 935.653, 1168.83, 718.684, 1343.78, 849.608, 0, 0
22, 1800.00000, 1149.83, 939.326, 1175.77, 721.964, 1351.04, 853.107, 0, 0
22, 2700.00000, 1191.47, 922.465, 1215.41, 705.148, 1391.64, 834.535, 0, 0
23, 0.00000, 1177.43, 909.784, 1203.11, 698.372, 1373.36, 826.317, 0, 0
23, 900.00000, 1150.33, 892.312, 1174.71, 685.356, 1341.75, 809.944, 0, 0
23, 1800.00000, 1220.04, 901.782, 1246.15, 697.038, 1410.41, 822.015, 0, 0
23, 2700.00000, 1187.26, 880.399, 1212.44, 678.043, 1375.1, 801.024, 0, 0
24, 0.00000, 1182.07, 876.872, 1208.17, 673.905, 1370.89, 797.984, 0, 0
24, 900.00000, 1155.57, 861.405, 1182.05, 659.174, 1343.95, 783.223, 0, 0
24, 1800.00000, 1098.92, 821.329, 1124.29, 627.303, 1279.64, 746.281, 0, 0
24, 2700.00000, 1162.53, 795.668, 1185.27, 604.776, 1339.22, 719.914, 0, 0
25, 0.00000, 1204.88, 823.032, 1229.65, 630.835, 1383.71, 748.383, 0, 0
25, 900.00000, 1178.81, 803.479, 1203.44, 617.025, 1352.59, 731.582, 0, 0
25, 1800.00000, 1160.28, 791.5, 1183.34, 605.397, 1332.98, 718.424, 0, 0
25, 2700.00000, 1165.37, 794.991, 1189.77, 610.016, 1337.76, 723.629, 0, 0
26, 0.00000, 1184.89, 812.94, 1209.17, 620.371, 1363.8, 737.678, 0, 0
26, 900.00000, 1148.07, 784.828, 1171.33, 600.092, 1319.68, 712.606, 0, 0
26, 1800.00000, 1154.3, 788.371, 1178.84, 604.379, 1325.91, 717.632, 0, 0
26, 2700.00000, 1216.61, 771.094, 1239.08, 591.416, 1383.45, 700.715, 0, 0
27, 0.00000, 1166.99, 738.498, 1188.33, 563.849, 1328.91, 669.654, 0, 0
27, 900.00000, 1178.13, 743.946, 1200.83, 569.002, 1340.98, 676.135, 0, 0
27, 1800.00000, 1112.25, 722.417, 1133.02, 554.014, 1268.48, 656.205, 0, 0
27, 2700.00000, 1181.22, 770.938, 1204.43, 589.125, 1350.28, 700.137, 0, 0
28, 0.00000, 1165.94, 760.942, 1188.09, 579.17, 1334.44, 689.238, 0, 0
28, 900.00000, 1148.88, 751.831, 1170.19, 569.784, 1317.19, 679.256, 0, 0
28, 1800.00000, 1202.67, 787.675, 1225.57, 599.518, 1377.07, 713.43, 0, 0
28, 2700.00000, 1195.05, 758.516, 1214.86, 575.913, 1363.09, 684.368, 0, 0
29, 0.00000, 1214.5, 767.526, 1236.18, 588.9, 1380.04, 696.99, 0, 0
29, 900.00000, 1196.89, 757.366, 1217.4, 578.96, 1361.65, 685.932, 0, 0
29, 1800.00000, 1198.41, 785.698, 1218.85, 595.94, 1372.97, 708.523, 0, 0
29, 2700.00000, 1185.4, 773.484, 1205.64, 589.222, 1355.09, 698.88, 0, 0
30, 0.00000, 1132.01, 735.865, 1149.97, 558.99, 1294.17, 662.983, 0, 0
30, 900.00000, 1182.03, 769.638, 1201.65, 584.527, 1352.15, 694.067, 0, 0
30, 1800.00000, 1194.33, 778.381, 1213.96, 591.234, 1366.22, 701.806, 0, 0
30, 2700.00000, 1146.38, 727.466, 1167.5, 568.395, 1294.7, 666.223, 0, 0
31, 0.00000, 1189.54, 755.624, 1210.54, 587.971, 1345.23, 689.978, 0, 0
31, 900.00000, 1224.74, 777.507, 1245.48, 604.828, 1384.66, 709.129, 0, 0
31, 1800.00000, 1143.85, 729.091, 1166.14, 588.063, 1277.13, 677.877, 0, 0
31, 2700.00000, 1172.33, 745.88, 1193.42, 604.963, 1304.91, 693.683, 0, 0
32, 0.00000, 1242.69, 786.424, 1263.8, 642.93, 1377.51, 732.955, 0, 0
32, 900.00000, 1208.12, 762.232, 1227.48, 628.561, 1333.57, 712.16, 0, 0
32, 1800.00000, 1240.94, 782.331, 1261.61, 645.106, 1370.12, 731.617, 0, 0
32, 2700.00000, 1126.32, 806.704, 1151.39, 674.966, 1252.94, 762.55, 0, 0
33, 0.00000, 1204.62, 858.556, 1230.75, 718.999, 1338.55, 811.406, 0, 0
33, 900.00000, 1187.32, 846.784, 1212.69, 712.76, 1316.07, 801.74, 0, 0
33, 1800.00000, 1210.59, 824.664, 1241.99, 717.895, 1318.75, 798.474, 0, 0
33, 2700.00000, 1157.38, 789.016, 1189.55, 695.987, 1254.03, 770.361, 0, 0
34, 0.00000, 1167.34, 795.83, 1197.72, 702.652, 1263.23, 775.546, 0, 0
34, 900.00000, 1216.39, 829.489, 1247.13, 725.296, 1322, 804.013, 0, 0
34, 1800.00000, 1205.99, 821.394, 1234.63, 721.28, 1307.01, 796.138, 0, 0
34, 2700.00000, 1215.21, 813.916, 1262.6, 758.089, 1287.25, 827.045, 0, 0
35, 0.00000, 1205.5, 806.591, 1253.33, 754.07, 1274.9, 821.758, 0, 0
35, 900.00000, 1189.13, 798.554, 1235.6, 749.197, 1255.11, 814.125, 0, 0
35, 1800.00000, 1220.87, 813.466, 1275.93, 767.851, 1287.9, 838.335, 0, 0
35, 2700.00000, 1200.17, 801.125, 1254.16, 757.948, 1264.56, 826.292, 0, 0
36, 0.00000, 1162.18, 778.846, 1214.97, 740.32, 1221.94, 805.304, 0, 0
36, 900.00000, 1239.35, 826.046, 1292.55, 771.814, 1312.91, 845, 0, 0
36, 1800.00000, 1226.37, 817.129, 1280.75, 766.77, 1297.17, 839.045, 0, 0
36, 2700.00000, 1187.65, 817.567, 1245.64, 772.591, 1255.59, 845.3, 0, 0
37, 0.00000, 1164.06, 802.947, 1221.48, 764.868, 1225.75, 833.631, 0, 0
37, 900.00000, 1191.55, 815.704, 1249.8, 773.937, 1256.85, 845.271, 0, 0
37, 1800.00000, 1145.66, 826.683, 1204.05, 783.717, 1212.06, 855.77, 0, 0
37, 2700.00000, 1259.77, 897.38, 1319.39, 837.617, 1341.34, 919.139, 0, 0
38, 0.00000, 1222.68, 876.861, 1281.65, 821.814, 1299.84, 900.414, 0, 0
38, 900.00000, 1191.3, 857.767, 1249.61, 804.949, 1266.2, 881.853, 0, 0
38, 1800.00000, 1170.58, 843.799, 1228.03, 796.181, 1240.54, 869.742, 0, 0
38, 2700.00000, 1198.2, 846.452, 1256.29, 800.25, 1267.26, 873.659, 0, 0
39, 0.00000, 1205.26, 849.871, 1264.53, 804.195, 1274.45, 878.362, 0, 0
39, 900.00000, 1172.52, 830.558, 1230.5, 789.288, 1237.25, 860.139, 0, 0
39, 1800.00000, 1209.1, 842.251, 1266.64, 793.715, 1279.9, 867.808, 0, 0
39, 2700.00000, 1208.66, 844.48, 1264.5, 792.73, 1281.4, 866.959, 0, 0
40, 0.00000, 1225, 854.623, 1282.42, 800.87, 1300.26, 877.472, 0, 0
40, 900.00000, 1214.81, 849.957, 1272.53, 798.627, 1288.12, 874.274, 0, 0
40, 1800.00000, 1201.34, 842.723, 1258.52, 795.046, 1271.22, 868.403, 0, 0
40, 2700.00000, 1177.15, 842.892, 1220.33, 762.249, 1268.58, 839.967, 0, 0
41, 0.00000, 1191.96, 850.667, 1237.28, 771.004, 1283.61, 850.091, 0, 0
41, 900.00000, 1204.63, 867.318, 1246.63, 778.494, 1302.55, 859.283, 0, 0
41, 1800.00000, 1158.72, 892.974, 1187.74, 755.231, 1292.52, 849.235, 0, 0
41, 2700.00000, 1137.82, 879.543, 1167.27, 742.396, 1271.32, 836.478, 0, 0
42, 0.00000, 1131.86, 882.647, 1160.8, 737.177, 1272.31, 834.979, 0, 0
42, 900.00000, 1225.64, 953.931, 1257.09, 784.217, 1388.34, 896.306, 0, 0
42, 1800.00000, 1240.51, 962.577, 1273.62, 797.536, 1400, 908.733, 0, 0
42, 2700.00000, 1178.47, 1024.78, 1200.54, 798.855, 1385.16, 930.929, 0, 0
43, 0.00000, 1178.81, 1021.07, 1202.62, 796.174, 1385.48, 929.245, 0, 0
43, 900.00000, 1133.24, 986.739, 1157.5, 767.076, 1335.6, 897.921, 0, 0
43, 1800.00000, 1148, 1029.06, 1171.41, 785.924, 1370.27, 927.763, 0, 0
43, 2700.00000, 1170.34, 1044.85, 1194.67, 797.766, 1396.49, 942.373, 0, 0
44, 0.00000, 1149.84, 1031.45, 1173.64, 787.913, 1372.65, 930.289, 0, 0
44, 900.00000, 1139.88, 1019.18, 1165.28, 782.629, 1357.44, 922.898, 0, 0
44, 1800.00000, 1127.39, 1013.02, 1153.58, 776.595, 1345.24, 917.486, 0, 0
44, 2700.00000, 1157.45, 1008.13, 1185.41, 775.226, 1373.14, 915.889, 0, 0
45, 0.00000, 1202.07, 1042.49, 1231.89, 799.281, 1427.6, 946.712, 0, 0
45, 900.00000, 1147.04, 996.952, 1172.88, 763.733, 1361.94, 902.72, 0, 0
45, 1800.00000, 1199.16, 975.959, 1225.77, 755.797, 1403.13, 888.928, 0, 0
45, 2700.00000, 1155.22, 945.712, 1182.17, 727.17, 1357.95, 859.779, 0, 0
46, 0.00000, 1111.75, 911.596, 1136.38, 700.921, 1306.52, 827.587, 0, 0
46, 900.00000, 1142.92, 935.653, 1168.83, 718.684, 1343.78, 849.608, 0, 0
46, 1800.00000, 1149.83, 939.326, 1175.77, 721.964, 1351.04, 853.107, 0, 0
46, 2700.00000, 1191.47, 922.465, 1215.41, 705.148, 1391.64, 834.535, 0, 0
47, 0.00000, 1177.43, 909.784, 1203.11, 698.372, 1373.36, 826.317, 0, 0
47, 900.00000, 1150.33, 892.312, 1174.71, 685.356, 1341.75, 809.944, 0, 0
47, 1800.00000, 1220.04, 901.782, 1246.15, 697.038, 1410.41, 822.015, 0, 0
47, 2700.00000, 1187.26, 880.399, 1212.44, 678.043, 1375.1, 801.024, 0, 0
48, 0.00000, 1182.07, 876.872, 1208.17, 673.905, 1370.89, 797.984, 0, 0
